Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,158,"China, Taiwan Province of",9,Stock,2,Outward,30356,,1474.582,,1.346222,,18.21853,,73.49358,
1990,1990,1600,Developing economies excluding China,8,Flow,1,Inward,30103.171,,10.48,,14.692522,,0.90875,,4.03453,
1990,1990,1600,Developing economies excluding China,8,Flow,2,Outward,11144.776,,4.678,,4.569877,,0.36431,,1.5808,
1990,1990,1600,Developing economies excluding China,9,Stock,1,Inward,482929.049,,167.526,,21.989272,,14.5681,,64.68095,
1990,1990,1600,Developing economies excluding China,9,Stock,2,Outward,133639.48,,55.125,,5.926617,,4.33881,,18.89737,
1990,1990,1601,Developing economies excluding LDCs,8,Flow,1,Inward,33048.273,,9.383,,16.129945,,0.9343,,4.06062,
1990,1990,1601,Developing economies excluding LDCs,8,Flow,2,Outward,11979.421,,3.6,,4.912121,,0.35504,,1.51803,
1990,1990,1601,Developing economies excluding LDCs,9,Stock,1,Inward,492598.892,,139.8,,22.429571,,13.92296,,60.4979,
1990,1990,1601,Developing economies excluding LDCs,9,Stock,2,Outward,137006.279,,40.9,,6.075927,,4.03975,,17.33314,
1990,1990,1610,LDCs (Least developed countries),8,Flow,1,Inward,542.008,,1.075,,0.264539,,0.31893,,1.85686,
1990,1990,1610,LDCs (Least developed countries),8,Flow,2,Outward,-4.646,,-0.022,,-0.001905,,-0.00584,,-0.03632,
1990,1990,1610,LDCs (Least developed countries),9,Stock,1,Inward,11020.776,,21.491,,0.50181,,6.42571,,37.59351,
1990,1990,1610,LDCs (Least developed countries),9,Stock,2,Outward,1088.201,,4.768,,0.048259,,1.30792,,7.955,
1990,1990,1612,LDCs: Asia,8,Flow,1,Inward,110.979,,0.567,,0.054166,,0.23686,,1.32239,
1990,1990,1612,LDCs: Asia,8,Flow,2,Outward,0.668,,0.006,,0.000274,,0.0023,,0.01143,
1990,1990,1612,LDCs: Asia,9,Stock,1,Inward,1018.746,,4.976,,0.046387,,2.0983,,11.93854,
1990,1990,1612,LDCs: Asia,9,Stock,2,Outward,50.911,,0.381,,0.002258,,0.14644,,0.79138,
1990,1990,1614,LDCs: Africa,8,Flow,1,Inward,411.896,,1.37,,0.201035,,0.34666,,2.04515,
1990,1990,1614,LDCs: Africa,8,Flow,2,Outward,2.686,,0.03,,0.001102,,0.00571,,0.0419,
1990,1990,1614,LDCs: Africa,9,Stock,1,Inward,9835.807,,32.72,,0.447855,,8.27798,,48.83683,
1990,1990,1614,LDCs: Africa,9,Stock,2,Outward,1037.29,,10.98,,0.046002,,2.14155,,14.31466,
